;sent_index;token;tag
0;0;Лингви́стика;B-TERM
1;0;(;O
2;0;от;O
3;0;лат;O
4;0;.;O
5;0;lingua;O
6;0;«;O
7;0;язык;O
8;0;»;O
9;0;);O
10;0;,;O
11;0;языкозна́ние;O
12;0;,;O
13;0;языкове́дение;O
14;0;—;O
15;0;наука;B-DEF
16;0;,;I-DEF
17;0;изучающая;I-DEF
18;0;языки;I-DEF
19;0;.;O
20;12;Как;O
21;12;дисциплина;O
22;12;,;O
23;12;имеющая;O
24;12;ряд;O
25;12;принципиальных;O
26;12;черт;O
27;12;гуманитарных;O
28;12;наук;O
29;12;,;O
30;12;лингвистика;O
31;12;не;O
32;12;всегда;O
33;12;отделяет;O
34;12;субъект;B-TERM
35;12;познания;I-TERM
36;12;(;O
37;12;то;O
38;12;есть;O
39;12;психику;B-DEF
40;12;лингвиста;I-DEF
41;12;);O
42;12;от;O
43;12;объекта;B-TERM
44;12;познания;I-TERM
45;12;(;O
46;12;то;O
47;12;есть;O
48;12;от;O
49;12;изучаемого;B-DEF
50;12;языка;I-DEF
51;12;);O
52;12;,;O
53;12;особенно;O
54;12;если;O
55;12;лингвист;I-DEF
56;12;изучает;O
57;12;свой;O
58;12;родной;O
59;12;язык;O
60;12;.;O
61;13;Лингвистами;O
62;13;часто;O
63;13;становятся;O
64;13;люди;O
65;13;,;O
66;13;совмещающие;O
67;13;тонкую;O
68;13;языковую;B-TERM
69;13;интуицию;I-TERM
70;13;(;O
71;13;чутьё;B-DEF
72;13;языка;I-DEF
73;13;);O
74;13;с;O
75;13;обострённой;O
76;13;языковой;B-TERM
77;13;рефлексией;I-TERM
78;13;(;O
79;13;способностью;B-DEF
80;13;задумываться;I-DEF
81;13;над;I-DEF
82;13;своим;I-DEF
83;13;языковым;I-DEF
84;13;чутьём;I-DEF
85;13;);O
86;13;.;O
87;15;Лингвистика;B-TERM
88;15;в;I-TERM
89;15;широком;I-TERM
90;15;смысле;I-TERM
91;15;слова;B-TERM
92;15;(;O
93;15;познание;B-DEF
94;15;языка;I-DEF
95;15;и;I-DEF
96;15;передача;I-DEF
97;15;результатов;I-DEF
98;15;этого;I-DEF
99;15;познания;I-DEF
100;15;другим;I-DEF
101;15;людям;I-DEF
102;15;);O
103;15;подразделяется;O
104;15;:;O
105;15;теоретическая;O
